Source,Abbreviation,Content,Rating,Cleaned Content,Stemmed Content,Language,Segmented Content
SPL Online ,SPL,I Can't install,1,i cannot install,I not install,en,i cannot install
SPL Online ,SPL,I can't install in android 12,1,i cannot install in android ,I not install android ,en,i cannot install in android
 NAFATH, NAFATH,I can't install it. Now I have no access to my stc . This is where I was referred to.,1,i cannot install it now i have no access to my stc this is where i was referred to,I not install I no access stc I refer,en,i cannot install it now i have no access to my stc this is where i was referred to
SPL Online ,SPL,I can't install the application!!?,1,i cannot install the application,I not install application,en,i cannot install the application
SPL Online ,SPL,"I can't linked shipment , old app i can but now i can't please solve this problem ASAP",1,i cannot linked shipment old app i can but now i cannot please solve this problem as soon as possible,I not link shipment old app I I not please solve problem soon possible,en,i cannot linked shipment old app i can but now i cannot please solve this problem as soon as possible
 NAFATH, NAFATH,I can't log in,1,i cannot log in,I not log,en,i cannot log in
Report Trade Violation,RTV,I can't log in,1,i cannot log in,I not log,en,i cannot log in
 NAFATH, NAFATH,I can't log in due to failure in recognizing my face features.,1,i cannot log in due to failure in recognizing my face features,I not log due failure recognize face feature,en,i cannot log in due to failure in recognizing my face features
Absher,Absher,I can't log in from Android phones.,1,i cannot log in from android phones,I not log android phone,en,i cannot log in from android phones
SPL Online ,SPL,"I can’t log into my account even though I PRECISELY put in my info,  ",1,i cannot log into my account even though i precisely put in my info,I not log account even though I precisely put info,en,i cannot log into my account even though i precisely put in my info
AL KAHRABA,KAHRABA,I can’t login my account,1,i cannot login my account,I not login account,en,i cannot login my account
SAUDIA,SAUDIA,"I can't open alfursan it's crashing immediately, as well I select my set and when I do boarding I don't find the selected set",1,i cannot open alfursan it is crashing immediately as well i select my set and when i do boarding i do not find the selected set,I not open alfursan crash immediately well I select set I boarding I not find select set,en,i cannot open alfursan it is crashing immediately as well i select my set and when i do boarding i do not find the selected set
Absher,Absher,I can't open my absher then i uninstall.. But the problem is can't download it.. 😢😢😢,1,i cannot open my absher then i uninstall but the problem is cannot download it,I not open absher I uninstall problem not download,en,i cannot open my absher then i uninstall but the problem is cannot download it
Fazaah,Fazaah,"i can't open the app ,  stop working",1,i cannot open the app stop working,I not open app stop work,en,i cannot open the app stop working
"Communication, Space and Technology Commission",CST,I Can't open this apa last 2 days. I already updated last features. But always rejected my application.,1,i cannot open this apa last  days i already updated last features but always rejected my application,I not open apa last  day I already update last feature always reject application,en,i cannot open this apa last days i already updated last features but always rejected my application
Tawakkalna Services,Tawakkalna Services,I can't open this tawakalna service app,1,i cannot open this tawakalna service app,I not open tawakalna service app,en,i cannot open this tawakalna service app
SPL Online ,SPL,I can't pay for the shipments in the app like before,1,i cannot pay for the shipments in the app like before,I not pay shipment app like,en,i cannot pay for the shipments in the app like before
Report Trade Violation,RTV,"I can't register as well ☹️, even after receiving the code",1,i cannot register as well even after receiving the code,I not register well even receive code,en,i cannot register as well even after receiving the code
Tawakkalna Services,Tawakkalna Services,"I can't register at all ,it shows an error ,yet all my information is correct",1,i cannot register at all it shows an error yet all my information is correct,I not register show error yet information correct,en,i cannot register at all it shows an error yet all my information is correct
SAUDIA,SAUDIA,I can’t register my ticket because of the issue of entering a valid ID number with date of birth as I’m sure of that.,1,i cannot register my ticket because of the issue of entering a valid id number with date of birth as i am sure of that,I not register ticket issue enter valid number date birth I sure,en,i cannot register my ticket because of the issue of entering a valid id number with date of birth as i am sure of that
Report Trade Violation,RTV,"I can't register, After receiving the OTP error occurred and application crashed",1,i cannot register after receiving the otp error occurred and application crashed,I not register receive otp error occur application crash,en,i cannot register after receiving the otp error occurred and application crashed
Tawakkalna Services,Tawakkalna Services,"I can't register, keep telling me check all information are correct.",1,i cannot register keep telling me check all information are correct,I not register keep tell I check information correct,en,i cannot register keep telling me check all information are correct
SPL Online ,SPL,i can't regulation my Nisional address??? always telling.... please try again?,1,i cannot regulation my nisional address always telling please try again,I not regulation nisional address always tell please try,en,i cannot regulation my nisional address always telling please try again
Fazaah,Fazaah,I can't save any location !!!!!! a massages appears say ;you can't save more than one Geolocation with same coordinate,1,i cannot save any location a massages appears say you cannot save more than one geolocation with same coordinate,I not save location massage appear say not save one geolocation coordinate,en,i cannot save any location a massages appears say you cannot save more than one geolocation with same coordinate
Food and Drug Administration,FDA,I can't search for the product if register or not,1,i cannot search for the product if register or not,search product register,en,i cannot search for the product if register or not
SPL Online ,SPL,"I can't seem to be able to get anywhere with this. Just a terrible app.
Previous version was much better. I wish that they can revert to it.",1,i cannot seem to be able to get anywhere with this just a terrible app previous version was much better i wish that they can revert to it,I not seem able get anywhere terrible app previous version much well I wish revert,en,i cannot seem to be able to get anywhere with this just a terrible app previous version was much better i wish that they can revert to it
Kollona Amn,Kollona Amn,"I can't submit anything, it says unauthorized exception verify otp",1,i cannot submit anything it says unauthorized exception verify otp,I not submit anything say unauthorized exception verify otp,en,i cannot submit anything it says unauthorized exception verify otp
SAUDIA,SAUDIA,"I can't to make a booking, just white page in reservations",1,i cannot to make a booking just white page in reservations,I not make booking white page reservation,en,i cannot to make a booking just white page in reservations
Saudi Council of Engineers,SCE,I can’t update my membership from a student. The app doesn’t even have the option.,1,i cannot update my membership from a student the app does not even have the option,I not update membership student app not even option,en,i cannot update my membership from a student the app does not even have the option
SPL Online ,SPL,"I can't update my mobile number. Can't even rate the app itself 😂 I tried calling them, then a female agent answered the call and hanged up on me when I started talking.",1,i cannot update my mobile number cannot even rate the app itself i tried calling them then a female agent answered the call and hanged up on me when i started talking,I not update mobile number not even rate app I try call female agent answer call hang I I start talk,en,i cannot update my mobile number cannot even rate the app itself i tried calling them then a female agent answered the call and hanged up on me when i started talking
"Communication, Space and Technology Commission",CST,I can't update the app....,1,i cannot update the app,I not update app,en,i cannot update the app
Tawakkalna Services,Tawakkalna Services,I can't use this app please update,1,i cannot use this app please update,I not use app please update,en,i cannot use this app please update
SPL Online ,SPL,I cannot access to their website cannot log in even create a new acct.they dont deliver my parcel and need to self pickup because they said the address is not complete.how come they accept parcel without complete addressa and even contract number of the reciever.,1,i cannot access to their website cannot log in even create a new acctthey do not deliver my parcel and need to self pickup because they said the address is not completehow come they accept parcel without complete addressa and even contract number of the reciever,I not access website not log even create new acctthey not deliver parcel need self pickup say address not completehow come accept parcel without complete addressa even contract number reciever,en,i cannot access to their website cannot log in even create a new acctthey do not deliver my parcel and need to self pickup because they said the address is not completehow come they accept parcel without complete addressa and even contract number of the reciever
 NAFATH, NAFATH,I cannot activate my account and there is no help on how to change or replace the password,1,i cannot activate my account and there is no help on how to change or replace the password,I not activate account no help change replace password,en,i cannot activate my account and there is no help on how to change or replace the password
SAUDIA,SAUDIA,I cannot book through app since long time,1,i cannot book through app since long time,I not book app since long time,en,i cannot book through app since long time
General Organization for Social Insurance,GOSI,I cannot change the language,1,i cannot change the language,I not change language,en,i cannot change the language
Report Trade Violation,RTV,I cannot figure out how to get the app to display in english,1,i cannot figure out how to get the app to display in english,I not figure get app display english,en,i cannot figure out how to get the app to display in english
SAUDIA,SAUDIA,I cannot make booking!!!,1,i cannot make booking,I not make booking,en,i cannot make booking
SAUDIA,SAUDIA,I cannot modify my flight and I cannot choose a seat for my upcoming flight.,1,i cannot modify my flight and i cannot choose a seat for my upcoming flight,I not modify flight I not choose seat upcoming flight,en,i cannot modify my flight and i cannot choose a seat for my upcoming flight
Tawakkalna Services,Tawakkalna Services,"I cannot open,",1,i cannot open,I not open,en,i cannot open
Report Trade Violation,RTV,"I cannot register, an error has occurred message keeps showing",1,i cannot register an error has occurred message keeps showing,I not register error occur message keep show,en,i cannot register an error has occurred message keeps showing
SAUDIA,SAUDIA,I cannot search for any flights what's the problem??,1,i cannot search for any flights what is the problem,I not search flight problem,en,i cannot search for any flights what is the problem
AL KAHRABA,KAHRABA,i cannot see my previous balance bill,1,i cannot see my previous balance bill,I not see previous balance bill,en,i cannot see my previous balance bill
 NAFATH, NAFATH,"I cannot take a picture for facial recognition. It wants me adjust my face according to AI programmed, but it doesn't seem to detect it correctly and making it very difficult to proceed further. I'am using an iPhone 6s , i don't think it should be an issue. Please",1,i cannot take a picture for facial recognition it wants me adjust my face according to ai programmed but it does not seem to detect it correctly and making it very difficult to proceed further i'am using an iphone s i do not think it should be an issue please,I not take picture facial recognition want I adjust face accord ai program not seem detect correctly make difficult proceed far iam use iphone s I not think issue please,en,i cannot take a picture for facial recognition it wants me adjust my face according to ai programmed but it does not seem to detect it correctly and making it very difficult to proceed further i ' am using an iphone s i do not think it should be an issue please
SAUDIA,SAUDIA,I cannot use it  It has many bugs,1,i cannot use it it has many bugs,I not use many bug,en,i cannot use it it has many bugs
"Communication, Space and Technology Commission",CST,i cant change the number in my profile,1,i cannot change the number in my profile,I not change number profile,en,i cannot change the number in my profile
Absher,Absher,I cant open. It says always incorrect username and password. But when i open through google it open. Why this apps makes too much headache.,1,i cannot open it says always incorrect username and password but when i open through google it open why this apps makes too much headache,I not open say always incorrect username password I open google open app make much headache,en,i cannot open it says always incorrect username and password but when i open through google it open why this apps makes too much headache
 real estate agents,REagent,I cant understand i dont know where to go and what to choose. They should make an english version for this app,1,i cannot understand i do not know where to go and what to choose they should make an english version for this app,I not understand I not know go choose make english version app,en,i cannot understand i do not know where to go and what to choose they should make an english version for this app
SPL Online ,SPL,I checked change the destination but the option is not active so it was a bad experience first and Last so it deserved a single star only,1,i checked change the destination but the option is not active so it was a bad experience first and last so it deserved a single star only,I check change destination option not active bad experience first last deserve single star,en,i checked change the destination but the option is not active so it was a bad experience first and last so it deserved a single star only
Enjoy Saudi,Enjoy Saudi,"I chose events in a specific city, but had all events in all cities. Also, it needs more organization and useful links.",1,i chose events in a specific city but had all events in all cities also it needs more organization and useful links,I choose event specific city event city also need organization useful link,en,i chose events in a specific city but had all events in all cities also it needs more organization and useful links
"Communication, Space and Technology Commission",CST,I complighned for cancel sim but no reply now its 1 week not solved solution,1,i complighned for cancel sim but no reply now its  week not solved solution,I complighne cancel sim no reply  week not solve solution,en,i complighned for cancel sim but no reply now its week not solved solution
SPL Online ,SPL,I confirmed my national address and now I see that all my addresses are missing,1,i confirmed my national address and now i see that all my addresses are missing,I confirm national address I see address miss,en,i confirmed my national address and now i see that all my addresses are missing
SPL Online ,SPL,"I could not add my address in Irqah, also I could not delete my previous address.",1,i could not add my address in irqah also i could not delete my previous address,I could not add address irqah also I could not delete previous address,en,i could not add my address in irqah also i could not delete my previous address
SAUDIA,SAUDIA,"I couldn't add my booking, it keeps telling me that my booking reference number is wrong.",1,i could not add my booking it keeps telling me that my booking reference number is wrong,I could not add booking keep tell I booking reference number wrong,en,i could not add my booking it keeps telling me that my booking reference number is wrong
SAUDIA,SAUDIA,I couldn't book a flight since 3 hours alfursan is even worse couldn't get help,1,i could not book a flight since  hours alfursan is even worse could not get help,I could not book flight since  hour alfursan even bad could not get help,en,i could not book a flight since hours alfursan is even worse could not get help
 NAFATH, NAFATH,I couldn’t log in because of the app is unable to detect my face even after several times of trying,1,i could not log in because of the app is unable to detect my face even after several times of trying,I could not log app unable detect face even several time try,en,i could not log in because of the app is unable to detect my face even after several times of trying
SAUDIA,SAUDIA,I couldn't login to Alfursan after upgrading the application.... The desired page keeps loading!,1,i could not login to alfursan after upgrading the application the desired page keeps loading,I could not login alfursan upgrade application desire page keep load,en,i could not login to alfursan after upgrading the application the desired page keeps loading
 NAFATH, NAFATH,"I couldn’t open the app, it crashes every time",1,i could not open the app it crashes every time,I could not open app crash every time,en,i could not open the app it crashes every time
 NAFATH, NAFATH,I did multiple tries to capture my face identification as per the initial requirements but it’s continuously failed.,1,i did multiple tries to capture my face identification as per the initial requirements but it is continuously failed,I multiple try capture face identification per initial requirement continuously fail,en,i did multiple tries to capture my face identification as per the initial requirements but it is continuously failed
SAUDIA,SAUDIA,"I didn't received verification code, kindly guide me how to login",1,i did not received verification code kindly guide me how to login,I not receive verification code kindly guide I login,en,i did not received verification code kindly guide me how to login
AL KAHRABA,KAHRABA,I do not know why creating a whole new app while you guys have a working app but you need to update it,1,i do not know why creating a whole new app while you guys have a working app but you need to update it,I not know create whole new app guy work app need update,en,i do not know why creating a whole new app while you guys have a working app but you need to update it
Najiz,Najiz,I Don't know Arabic Please add English language in this apps God Bless you,1,i do not know arabic please add english language in this apps god bless you,I not know arabic please add english language app god bless,en,i do not know arabic please add english language in this apps god bless you
Muqeem,Muqeem,i don't know the Arabic but Muqeem ls in Arabic,1,i do not know the arabic but muqeem ls in arabic,I not know arabic muqeem ls arabic,en,i do not know the arabic but muqeem ls in arabic
SPL Online ,SPL,"I don't know where to start. The app is all broken and looks like it was released while developers were still half way through it. The moment you open it, it gives error message. It automatically logged me into my account but all my previous shipment details (more than 300 of them) are gone. Can't track shipments if coming through another app like &quot;Parcel&quot;. There's a saying that &quot;don't repair something that ain't broken&quot;.",1,i do not know where to start the app is all broken and looks like it was released while developers were still half way through it the moment you open it it gives error message it automatically logged me into my account but all my previous shipment details more than  of them are gone cannot track shipments if coming through another app like quotparcelquot there is a saying that quotdon't repair something that are not brokenquot,I not know start app broken look like release developer still half way moment open give error message automatically log I account previous shipment detail  go not track shipment come another app like quotparcelquot saying quotdont repair something not brokenquot,en,i do not know where to start the app is all broken and looks like it was released while developers were still half way through it the moment you open it it gives error message it automatically logged me into my account but all my previous shipment details more than of them are gone cannot track shipments if coming through another app like quotparcelquot there is a saying that quotdon ' t repair something that are not brokenquot
Discounts,Discounts,I don't know who is the target customers for this application? Very poor design.,1,i do not know who is the target customers for this application very poor design,I not know target customer application poor design,en,i do not know who is the target customers for this application very poor design
SPL Online ,SPL,I don't know why Saudi post hide DHL tracking number please help and support find solutions for this problem.,1,i do not know why saudi post hide dhl tracking number please help and support find solutions for this problem,I not know saudi post hide dhl tracking number please help support find solution problem,en,i do not know why saudi post hide dhl tracking number please help and support find solutions for this problem
Report Trade Violation,RTV,I don’t know why the App doesn’t work,1,i do not know why the app does not work,I not know app not work,en,i do not know why the app does not work
SAUDIA,SAUDIA,I don't know why this air line going down . They must change the name of their company because they don't represent the kingdom of Saudi,1,i do not know why this air line going down they must change the name of their company because they do not represent the kingdom of saudi,I not know air line go must change name company not represent kingdom saudi,en,i do not know why this air line going down they must change the name of their company because they do not represent the kingdom of saudi
SAUDIA,SAUDIA,I don't like that it doesn’t work on a jailbroken iPhone!,1,i do not like that it does not work on a jailbroken iphone,I not like not work jailbroken iphone,en,i do not like that it does not work on a jailbroken iphone
Tawakkalna Services,Tawakkalna Services,"I don't see a point of them making another app with features that is the exact same as the original app, I did noticed that they took some features off the original app and put it in the new app, still confused why they made this app.",1,i do not see a point of them making another app with features that is the exact same as the original app i did noticed that they took some features off the original app and put it in the new app still confused why they made this app,I not see point make another app feature exact original app I notice take feature original app put new app still confuse make app,en,i do not see a point of them making another app with features that is the exact same as the original app i did noticed that they took some features off the original app and put it in the new app still confused why they made this app
SAUDIA,SAUDIA,"I don’t see which terminal I have to go to or I will arrive at, either in international or domestic 
Also the boarding pass is not working in the current version, I cannot view or add to wallet 

Please fix those minimum requirements for travelers",1,i do not see which terminal i have to go to or i will arrive at either in international or domestic also the boarding pass is not working in the current version i cannot view or add to wallet please fix those minimum requirements for travelers,I not see terminal I go I arrive either international domestic also boarding pass not work current version I not view add wallet please fix minimum requirement traveler,en,i do not see which terminal i have to go to or i will arrive at either in international or domestic also the boarding pass is not working in the current version i cannot view or add to wallet please fix those minimum requirements for travelers
General Organization for Social Insurance,GOSI,I don't understand Arabic language. How can  loging and registered,1,i do not understand arabic language how can loging and registered,I not understand arabic language log register,en,i do not understand arabic language how can loging and registered
SAUDIA,SAUDIA,I don't understand why you guys are not fixing this app? It's not working at all.,1,i do not understand why you guys are not fixing this app it is not working at all,I not understand guy not fix app not work,en,i do not understand why you guys are not fixing this app it is not working at all
 NAFATH, NAFATH,I don’t want to scan my face!! Why I should!,1,i do not want to scan my face why i should,I not want scan face I,en,i do not want to scan my face why i should
General Organization for Social Insurance,GOSI,i dont know how to use this app because i cant read or understand Arabic. english version its very necessary ,1,i do not know how to use this app because i cannot read or understand arabic english version its very necessary,I not know use app I not read understand arabic english version necessary,en,i do not know how to use this app because i cannot read or understand arabic english version its very necessary
Saudi Railway,SAR,"I downloaded it cause I thought I could manage my reservations between makkah and madina. There was no makkah and madina, though. So I uninstalled it for a good reason.",1,i downloaded it because i thought i could manage my reservations between makkah and madina there was no makkah and madina though so i uninstalled it for a good reason,I download I think I could manage reservation makkah madina no makkah madina though I uninstalle good reason,en,i downloaded it because i thought i could manage my reservations between makkah and madina there was no makkah and madina though so i uninstalled it for a good reason
Tawakkalna Services,Tawakkalna Services,I downloaded it several times but still not working!!,1,i downloaded it several times but still not working,I download several time still not work,en,i downloaded it several times but still not working
SAUDIA,SAUDIA,I downloaded the app but freezing. Its shame for Saudia to make alot of apologies with rectifying the problem .I know the reply will be apologies .Stop and make rectifying of App,1,i downloaded the app but freezing its shame for saudia to make alot of apologies with rectifying the problem i know the reply will be apologies stop and make rectifying of app,I download app freeze shame saudia make alot apology rectify problem I know reply apology stop make rectifying app,en,i downloaded the app but freezing its shame for saudia to make alot of apologies with rectifying the problem i know the reply will be apologies stop and make rectifying of app
"Communication, Space and Technology Commission",CST,"I entered the application in order to explain the problem that I am in the process of writing, I found that I have a problem in how to deal with the application, unclear in general, I closed the topic and deleted the application",1,i entered the application in order to explain the problem that i am in the process of writing i found that i have a problem in how to deal with the application unclear in general i closed the topic and deleted the application,I enter application order explain problem I process writing I find I problem deal application unclear general I close topic delete application,en,i entered the application in order to explain the problem that i am in the process of writing i found that i have a problem in how to deal with the application unclear in general i closed the topic and deleted the application
Saudi Railway,SAR,"I filled all my booking data then it was stuck to close the app while I have new iPhone! 
I had already tried the website with failed payment! 

Please check your services! 
I won’t be able to attend 

Thanks.",1,i filled all my booking data then it was stuck to close the app while i have new iphone i had already tried the website with failed payment please check your services i will not be able to attend thanks,I fill booking datum stick close app I new iphone I already try website fail payment please check service I not able attend thank,en,i filled all my booking data then it was stuck to close the app while i have new iphone i had already tried the website with failed payment please check your services i will not be able to attend thanks
National Water Company,NWC,I forgot my password and it sends the code after 5-10 minutes and by that time the code expires and ask to resend the code.,1,i forgot my password and it sends the code after  minutes and by that time the code expires and ask to resend the code,I forget password send code  minute time code expire ask resend code,en,i forgot my password and it sends the code after minutes and by that time the code expires and ask to resend the code
SPL Online ,SPL,i get errors when opening the app. all my received mail not showing also i can't pay VAT from my credit balance.,1,i get errors when opening the app all my received mail not showing also i cannot pay vat from my credit balance,I get error open app receive mail not show also I not pay vat credit balance,en,i get errors when opening the app all my received mail not showing also i cannot pay vat from my credit balance
SAUDIA,SAUDIA,i had installed and uninstall this app but everytime the app is not working!,1,i had installed and uninstall this app but everytime the app is not working,I instal uninstall app everytime app not work,en,i had installed and uninstall this app but everytime the app is not working
SPL Online ,SPL,"I had the worst shipping experience with this company, it's very complicated and they lost my shipment for 10 days",1,i had the worst shipping experience with this company it is very complicated and they lost my shipment for  days,I bad shipping experience company complicated lose shipment  day,en,i had the worst shipping experience with this company it is very complicated and they lost my shipment for days
SAUDIA,SAUDIA,I had to delete and reinstall the App but it is still hanging on the page I want to book a flight.,1,i had to delete and reinstall the app but it is still hanging on the page i want to book a flight,I delete reinstall app still hang page I want book flight,en,i had to delete and reinstall the app but it is still hanging on the page i want to book a flight
SAUDIA,SAUDIA,I have been trying all day today to book a flight for my wife and kids with no success. In each attempt I reached the final payment page after entering all the passengers details then error page appears. I tried to call the customer service but with no response and I am not quite sure what to do.,1,i have been trying all day today to book a flight for my wife and kids with no success in each attempt i reached the final payment page after entering all the passengers details then error page appears i tried to call the customer service but with no response and i am not quite sure what to do,I try day today book flight wife kid no success attempt I reach final payment page enter passenger detail error page appear I try call customer service no response I not quite sure,en,i have been trying all day today to book a flight for my wife and kids with no success in each attempt i reached the final payment page after entering all the passengers details then error page appears i tried to call the customer service but with no response and i am not quite sure what to do
AL KAHRABA,KAHRABA,"I have downloaded adobe acroba but it still requires ;compatible app to download the bill;. What's that app? In previous version, I could trace all my previous bills but not in this one.",1,i have downloaded adobe acroba but it still requires compatible app to download the bill what is that app in previous version i could trace all my previous bills but not in this one,I download adobe acroba still require compatible app download bill app previous version I could trace previous bill not one,en,i have downloaded adobe acroba but it still requires compatible app to download the bill what is that app in previous version i could trace all my previous bills but not in this one
SAUDIA,SAUDIA,I have spent time for reservation but it always says there is problem in seating or in registration while I have nothing. Always there is something to hold you back.,1,i have spent time for reservation but it always says there is problem in seating or in registration while i have nothing always there is something to hold you back,I spend time reservation always say problem seating registration I nothing always something hold back,en,i have spent time for reservation but it always says there is problem in seating or in registration while i have nothing always there is something to hold you back
 NAFATH, NAFATH,I have to login every time!!,1,i have to login every time,I login every time,en,i have to login every time
SAUDIA,SAUDIA,I have to scroll back 55 years to enter my birthday!!!!!!!!!!!!!!!!!,1,i have to scroll back  years to enter my birthday,I scroll back  year enter birthday,en,i have to scroll back years to enter my birthday
SAUDIA,SAUDIA,"I have updated to the new version, unfortunately the booking flight page is no longer showing. So I have to use my laptop to book my flights then I search for it in the app to add to my booking lists. Not user friendly.",1,i have updated to the new version unfortunately the booking flight page is no longer showing so i have to use my laptop to book my flights then i search for it in the app to add to my booking lists not user friendly,I update new version unfortunately booking flight page no long show I use laptop book flight I search app add booking list not user friendly,en,i have updated to the new version unfortunately the booking flight page is no longer showing so i have to use my laptop to book my flights then i search for it in the app to add to my booking lists not user friendly
 real estate agents,REagent,I hope that there is English version of this app,1,i hope that there is english version of this app,I hope english version app,en,i hope that there is english version of this app
AL KAHRABA,KAHRABA,I hope the guy who created this app gets fired. Gotta hand it to him he really messed up this app. The moat useless app so far.,1,i hope the guy who created this app gets fired got to hand it to him he really messed up this app the moat useless app so far,I hope guy create app gets fire get hand really mess app moat useless app far,en,i hope the guy who created this app gets fired got to hand it to him he really messed up this app the moat useless app so far
"Communication, Space and Technology Commission",CST,I hope theres an english language for this app,1,i hope there is an english language for this app,I hope english language app,en,i hope there is an english language for this app
"Communication, Space and Technology Commission",CST,I just downloaded it and Asking for update. When i click on update there's no update available,1,i just downloaded it and asking for update when i click on update there is no update available,I download ask update I click update no update available,en,i just downloaded it and asking for update when i click on update there is no update available
Saudi Railway,SAR,"I just updated it because it won't open unless I update it, then when I did the app kept failing, what bug fixes did you fix if it doesn't even open. I HAVE A TRAIN TONIGHT",1,i just updated it because it will not open unless i update it then when i did the app kept failing what bug fixes did you fix if it does not even open i have a train tonight,I update not open unless I update I app keep fail bug fix fix not even open I train tonight,en,i just updated it because it will not open unless i update it then when i did the app kept failing what bug fixes did you fix if it does not even open i have a train tonight
SAUDIA,SAUDIA,I know that you didn't save my info on the web so everytime i search on flight requests my I'd No All of these for just wasting the time to loss my seat and give you more space time to give this for someone else Saudi airlines using this app for themselves only Unfortunately,1,i know that you did not save my info on the web so everytime i search on flight requests my i would no all of these for just wasting the time to loss my seat and give you more space time to give this for someone else saudi airlines using this app for themselves only unfortunately,I know not save info web everytime I search flight request I would no waste time loss seat give space time give someone else saudi airline use app unfortunately,en,i know that you did not save my info on the web so everytime i search on flight requests my i would no all of these for just wasting the time to loss my seat and give you more space time to give this for someone else saudi airlines using this app for themselves only unfortunately
General Organization for Social Insurance,GOSI,I need English sir,1,i need english sir,I need english sir,en,i need english sir
AL KAHRABA,KAHRABA,I need in English version,1,i need in english version,I need english version,en,i need in english version
National Water Company,NWC,I need to submit a complaint but your app does work,1,i need to submit a complaint but your app does work,I need submit complaint app work,en,i need to submit a complaint but your app does work
Report Trade Violation,RTV,I never raised a complain that was seriously taken into account. The agent just calls to confirm that the injustice is a fact and thanks you that you complained (for nothing). Totally useless.,1,i never raised a complain that was seriously taken into account the agent just calls to confirm that the injustice is a fact and thanks you that you complained for nothing totally useless,I never raise complain seriously take account agent call confirm injustice fact thank complain nothing totally useless,en,i never raised a complain that was seriously taken into account the agent just calls to confirm that the injustice is a fact and thanks you that you complained for nothing totally useless
SPL Online ,SPL,"I never receive the verification code, so I could complete registration. Also, I couldn't submit this comment trough the app.",1,i never receive the verification code so i could complete registration also i could not submit this comment trough the app,I never receive verification code I could complete registration also I could not submit comment trough app,en,i never receive the verification code so i could complete registration also i could not submit this comment trough the app
SAUDIA,SAUDIA,"i paid for extra baggage , but not showing extra baggage in my ticket ,",1,i paid for extra baggage but not showing extra baggage in my ticket,I pay extra baggage not show extra baggage ticket,en,i paid for extra baggage but not showing extra baggage in my ticket
AL KAHRABA,KAHRABA,"I raised this point more than once but no feedback
ApplePay not working",1,i raised this point more than once but no feedback applepay not working,I raise point no feedback applepay not work,en,i raised this point more than once but no feedback applepay not working
SAUDIA,SAUDIA,I received email says i will got 30% discount if i book ticket via this app  But these company laying I received  to check the term and conditions nothing in your website any way my plan to book from Toronto to jordan,1,i received email says i will got  discount if i book ticket via this app but these company laying i received to check the term and conditions nothing in your website any way my plan to book from toronto to jordan,I receive email say I got  discount I book ticket via app company lay I receive check term condition nothing website way plan book toronto jordan,en,i received email says i will got discount if i book ticket via this app but these company laying i received to check the term and conditions nothing in your website any way my plan to book from toronto to jordan
SAUDIA,SAUDIA,"I requested a ticket refund due to multiple flight cancellation last October 11, it's more than 2 months now and I haven't receive the refund yet. I getting really frustrated. If it's not government ticket and you are going to buy your ticket from your pocket. I dont recommend Saudia Airline.",1,i requested a ticket refund due to multiple flight cancellation last october  it is more than  months now and i have not receive the refund yet i getting really frustrated if it is not government ticket and you are going to buy your ticket from your pocket i do not recommend saudia airline,I request ticket refund due multiple flight cancellation last october   month I not receive refund yet I get really frustrated not government ticket go buy ticket pocket I not recommend saudia airline,en,i requested a ticket refund due to multiple flight cancellation last october it is more than months now and i have not receive the refund yet i getting really frustrated if it is not government ticket and you are going to buy your ticket from your pocket i do not recommend saudia airline
AL KAHRABA,KAHRABA,I respect you that added fixed bill option but did not add unsubscribe fixed bill option Please i request you add option unsubscribe fixed bill in next version,1,i respect you that added fixed bill option but did not add unsubscribe fixed bill option please i request you add option unsubscribe fixed bill in next version,I respect add fix bill option not add unsubscribe fix bill option please I request add option unsubscribe fix bill next version,en,i respect you that added fixed bill option but did not add unsubscribe fixed bill option please i request you add option unsubscribe fixed bill in next version
"Communication, Space and Technology Commission",CST,"I send email from one month,,until now not answer!!!!!",1,i send email from one monthuntil now not answer,I send email one monthuntil not answer,en,i send email from one monthuntil now not answer
SAUDIA,SAUDIA,I send emails to them about some problems happen for me but no response,1,i send emails to them about some problems happen for me but no response,I send email problem happen I no response,en,i send emails to them about some problems happen for me but no response
SPL Online ,SPL,"I sent the parcels to india from saudi arabia . It's to late to deliver , and one more thing the packing service is very poor . I received my parcel after 2 months and both parcel cartoon are very damage.",1,i sent the parcels to india from saudi arabia it is to late to deliver and one more thing the packing service is very poor i received my parcel after  months and both parcel cartoon are very damage,I send parcel india saudi arabia late deliver one thing packing service poor I receive parcel  month parcel cartoon damage,en,i sent the parcels to india from saudi arabia it is to late to deliver and one more thing the packing service is very poor i received my parcel after months and both parcel cartoon are very damage
Absher,Absher,I signed in in the website but when I tried to sign in in the app I couldn't,1,i signed in in the website but when i tried to sign in in the app i could not,I sign website I try sign app I could not,en,i signed in in the website but when i tried to sign in in the app i could not
SAUDIA,SAUDIA,I still have to call customers service to amend. the application always crashes.,1,i still have to call customers service to amend the application always crashes,I still call customer service amend application always crash,en,i still have to call customers service to amend the application always crashes
SAUDIA,SAUDIA,I suggest to improve performance of the app instance of adding photos and new futures to it. Old version was ok.,1,i suggest to improve performance of the app instance of adding photos and new futures to it old version was ok,I suggest improve performance app instance add photo new future old version ok,en,i suggest to improve performance of the app instance of adding photos and new futures to it old version was ok
